"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","0.1uF","",""
"2","C2","1","10uF","",""
"3","C3, C8","2","1nF","",""
"4","C4, C5, C6, C7","4",".1uF","",""
"5","J1","1","JST 1x4","",""
"6","J2","1","JST 1X6","",""
"7","J3","1","HEADER 1x7 socket","",""
"8","J4","1","Conn_01x03_Pin","",""
"9","J5","1","Screw_Terminal_01x03","",""
"10","J6","1","Screw_Terminal_01x02","",""
"11","R1, R2, R3, R4, R5, R6, R7, R8, R9","9","R","",""
"12","RV1","1","R_Potentiometer","",""
"13","U1","1","SC0915","SC0915:MODULE_SC0915",""
"14","U2","1","DRV8871DDAR","DRV8871DDAR:VREG_LM5017MR_NOPB",""
"15","U3","1","MCP3208-CI_SL","MCP3208-CI_SL:SOIC127P600X175-16N",""
"16","U4","1","ACS712xLCTR-05B","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"17","U5","1","TXB0104D","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
"18","U6","1","MCP1501-40xSN","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"19","U7","1","TXB0108DQSR","Package_SON:USON-20_2x4mm_P0.4mm",""
