Starting Sketch
CALI:	1
CLSB:	0.00009
SHUNT:	0.1000
MAXC:	3.0000
Shunt ADC:	1
Connected to encoder at address 54
AS5600 Connected!
Received new setpoint, speed, duration: -90.00, 6765933
Calc'd Final Speed: 0.00
Time [us]|PWM|Frequency|Current [mA]|Perf Current [us]|Angle [deg]|Perf Angle [us]
13006678|-0.002|25000|0|156|108.11|173
13007826|-0.020|25000|-0|153|108.11|156
13010316|-0.054|25000|-0|150|108.11|150
13012820|-0.087|25000|0|146|108.11|166
13015309|-0.120|25000|-0|148|108.11|150
13017804|-0.153|25000|-0|148|108.11|152
13020305|-0.187|25000|-0|149|108.11|151
13022804|-0.220|25000|0|147|108.11|153
13025303|-0.253|25000|0|148|108.11|150
13027817|-0.287|25000|-0|148|108.11|153
13030308|-0.320|25000|0|146|108.11|151
13032824|-0.353|25000|-0|145|108.11|161
13035308|-0.386|25000|-1|148|108.11|149
13037797|-0.419|25000|-1|147|108.11|149
13040305|-0.453|25000|-0|148|108.11|150
13042803|-0.486|25000|0|146|108.11|150
13045310|-0.519|25000|-0|148|108.11|151
13047804|-0.552|25000|0|147|108.11|150
13050306|-0.586|25000|-1|148|108.11|149
13052816|-0.619|25000|-1|148|108.11|154
13055304|-0.652|25000|0|148|108.11|151
13057806|-0.686|25000|-0|147|108.11|149
13060303|-0.719|25000|0|148|108.11|150
13062822|-0.752|25000|-0|145|108.11|159
13065310|-0.785|25000|-0|148|108.11|148
13067800|-0.818|25000|0|146|108.02|150
13070302|-0.852|25000|13|148|108.11|150
13072810|-0.885|25000|12|148|108.11|150
13075304|-0.918|25000|13|149|108.11|151
13077810|-0.952|25000|17|149|108.11|150
13080303|-0.985|25000|17|148|108.11|150
13082799|-1.018|25000|21|145|108.11|150
13085310|-1.051|25000|18|147|108.11|151
13087801|-1.085|25000|27|147|108.11|150
13090307|-1.118|25000|17|148|108.11|150
13092800|-1.151|25000|11|147|108.11|150
13095305|-1.184|25000|12|148|108.11|150
13097805|-1.218|25000|3|146|108.11|149
13100313|-1.251|25000|17|149|108.11|150
13102811|-1.284|25000|-22|148|108.11|150
13105300|-1.317|25000|-10|147|108.11|151
13107812|-1.351|25000|-37|149|108.11|150
13110313|-1.384|25000|-31|148|108.11|151
13112814|-1.417|25000|-27|148|108.11|149
13115300|-1.450|25000|-77|148|108.11|151
13117800|-1.484|25000|-28|146|108.11|149
13120300|-1.517|25000|-44|148|108.11|149
13122815|-1.550|25000|1|149|108.11|150
13125314|-1.583|25000|-51|148|108.11|149
13127806|-1.617|25000|-72|149|108.11|150
