Received new setpoint, speed, duration: -100.00, 6765933
Calc'd Final Speed: 0.00
Time [us]|PWM|Frequency|Current [mA]|Perf Current [us]|Angle [deg]|Perf Angle [us]
13005675|-0.003|25000|-0|157|122.70|173
13010317|-0.075|25000|-0|150|122.61|154
13015311|-0.149|25000|0|149|122.70|151
13020316|-0.223|25000|-1|148|122.61|151
13025315|-0.297|25000|-0|148|122.61|150
13030312|-0.370|25000|-0|148|122.70|149
13035310|-0.444|25000|-0|149|122.61|150
13040304|-0.518|25000|-0|149|122.61|150
13045315|-0.592|25000|-0|149|122.61|150
13050303|-0.666|25000|0|149|122.61|150
13055308|-0.740|25000|-0|149|122.61|151
13060309|-0.814|25000|-0|148|122.61|150
13065308|-0.888|25000|3|149|122.61|149
13070305|-0.962|25000|11|148|122.70|150
13075309|-1.035|25000|15|148|122.70|151
13080303|-1.109|25000|8|149|122.70|150
13085306|-1.183|25000|-32|149|122.61|151
13090313|-1.257|25000|-34|149|122.70|150
13095314|-1.331|25000|-41|149|122.61|151
13100308|-1.405|25000|-88|149|122.61|150
13105312|-1.479|25000|0|149|122.70|150
13110311|-1.553|25000|-108|148|122.61|149
13115314|-1.627|25000|-69|149|122.61|151
13120311|-1.701|25000|-119|147|122.70|149
13125315|-1.775|25000|-73|149|122.70|150
13130302|-1.848|25000|-81|149|122.70|149
13135304|-1.922|25000|-35|149|122.70|150
13140307|-1.996|25000|-18|149|122.61|151
13145314|-2.070|25000|-79|149|122.70|150
13150309|-2.144|25000|-149|149|122.70|149
13155310|-2.218|25000|-98|148|122.70|151
13160316|-2.292|25000|-201|149|122.70|150
13165306|-2.366|25000|-173|148|122.70|150
13170317|-2.440|25000|-71|149|122.70|150
13175315|-2.514|25000|-153|149|122.61|150
13180303|-2.587|25000|-166|149|122.70|151
13185312|-2.661|25000|-104|148|122.61|150
13190317|-2.735|25000|-205|149|122.70|149
13195319|-2.809|25000|-91|149|122.70|150
13200320|-2.883|25000|-170|156|122.61|150
13205314|-2.957|25000|-151|151|122.61|150
13210310|-3.031|25000|-76|149|122.70|150
13215303|-3.105|25000|-144|151|122.70|150
13220306|-3.178|25000|-55|151|122.61|150
13225313|-3.252|25000|-119|156|122.61|150
13230309|-3.326|25000|-86|148|122.70|150
13235312|-3.400|25000|-27|148|122.61|152
13240309|-3.474|25000|-88|149|122.70|151
13245305|-3.548|25000|-166|149|122.70|151
13250316|-3.622|25000|-104|148|122.61|151
13255304|-3.696|25000|-202|148|122.70|152
13260301|-3.770|25000|-57|147|122.70|153
13265310|-3.844|25000|-174|148|122.61|152
13270311|-3.917|25000|-90|148|122.61|160
13275304|-3.991|25000|-64|147|122.61|152
13280305|-4.065|25000|-182|148|122.70|152
13285313|-4.139|25000|-215|147|122.70|151
13290313|-4.213|25000|-50|149|122.61|151
13295311|-4.287|25000|-123|148|122.61|153
13300311|-4.361|25000|-78|149|122.61|151
13305315|-4.435|25000|-8|148|122.61|157
13310324|-4.509|25000|-50|149|122.61|160
13315314|-4.583|25000|-41|148|122.70|151
13320302|-4.656|25000|-48|148|122.70|150
13325305|-4.730|25000|-51|149|122.70|149
13330308|-4.804|25000|-78|149|122.70|150
13335305|-4.878|25000|2|149|122.61|150
13340306|-4.952|25000|-4|149|122.61|150
13345308|-5.026|25000|0|149|122.61|151
13350300|-5.100|25000|3|148|122.70|150
13355323|-5.174|25000|-11|148|122.61|157
13360305|-5.248|25000|4|149|122.70|151
13365314|-5.322|25000|1|149|122.70|150
13370306|-5.396|25000|-5|149|122.70|149
13375303|-5.469|25000|5|148|122.61|149
13380305|-5.543|25000|-2|149|122.70|151
13385312|-5.617|25000|-1|149|122.70|150
13390315|-5.691|25000|5|149|122.70|149
13395302|-5.765|25000|1|148|122.61|150
13400310|-5.839|25000|6|148|122.61|151
13405307|-5.913|25000|1|149|122.70|150
13410305|-5.987|25000|-14|149|122.61|150
13415300|-6.061|25000|3|148|122.70|150
13420315|-6.135|25000|-9|148|122.70|150
13425312|-6.209|25000|4|148|122.61|150
13430307|-6.282|25000|4|148|122.70|151
13435312|-6.356|25000|-4|149|122.70|150
13440305|-6.430|25000|4|148|122.70|148
13445312|-6.504|25000|1|147|122.70|149
13450305|-6.578|25000|-28|148|122.70|150
13455303|-6.652|25000|16|148|122.70|149
13460303|-6.726|25000|-65|147|122.70|150
13465304|-6.800|25000|20|148|122.70|150
13470310|-6.874|25000|3|149|122.70|151
13475300|-6.947|25000|-48|148|122.61|150
13480311|-7.021|25000|-116|148|122.61|149
13485315|-7.095|25000|-45|148|122.61|150
13490314|-7.169|25000|-104|148|122.61|150
13495303|-7.243|25000|-108|148|122.70|150
13500300|-7.317|25000|-48|148|122.70|149
13505304|-7.391|25000|-55|148|122.70|150
13510310|-7.465|25000|0|149|122.70|149
13515308|-7.539|25000|-48|148|122.70|150
13520310|-7.613|25000|-106|148|122.61|150
13525304|-7.686|25000|-45|148|122.61|149
13530311|-7.760|25000|-103|148|122.70|149
13535302|-7.834|25000|-61|147|122.61|150
13540301|-7.908|25000|6|149|122.70|150
13545304|-7.982|25000|-5|148|122.61|149
13550315|-8.056|25000|-2|148|122.61|151
13555303|-8.130|25000|4|148|122.61|150
13560301|-8.204|25000|-4|149|122.70|149
13565308|-8.278|25000|7|148|122.70|149
13570305|-8.352|25000|-51|147|122.61|149
13575317|-8.426|25000|-111|148|122.70|150
13580302|-8.499|25000|5|149|122.61|150
13585314|-8.573|25000|-60|148|122.70|150
13590303|-8.647|25000|7|148|122.70|150
13595316|-8.721|25000|-103|149|122.61|150
13600305|-8.795|25000|-52|149|122.70|150
13605303|-8.869|25000|8|148|122.70|150
13610305|-8.943|25000|-104|147|122.70|151
13615315|-9.017|25000|-10|149|122.61|150
13620305|-9.090|25000|-53|149|122.61|150
13625307|-9.164|25000|-39|149|122.70|149
13630309|-9.238|25000|-39|149|122.61|151
13635300|-9.312|25000|-60|148|122.70|150
13640309|-9.386|25000|-11|148|122.70|150
13645306|-9.460|25000|-6|149|122.70|151
13650316|-9.534|25000|-2|148|122.70|150
13655311|-9.608|25000|-3|147|122.61|149
13660312|-9.682|25000|-5|149|122.70|151
13665302|-9.756|25000|-36|148|122.70|150
13670303|-9.829|25000|-50|148|122.70|150
13675310|-9.903|25000|-105|147|122.61|149
13680316|-9.977|25000|-60|148|122.70|150
13685309|-10.051|25000|1|154|122.70|149
13690315|-10.125|25000|1|157|122.70|149
13695316|-10.199|25000|-51|151|122.61|150
13700318|-10.273|25000|-53|150|122.70|150
13705300|-10.347|25000|8|148|122.61|150
13710304|-10.421|25000|-48|150|122.61|151
13715311|-10.495|25000|-0|150|122.61|150
13720308|-10.568|25000|4|148|122.61|152
13725310|-10.642|25000|2|148|122.61|151
