Time [us]	Pos_Setpoint	Pos_Position	Error	PID_Latch	Pos_Output	Current [mA]	Output Speed [deg/s]
0	450	448.44	1.5625	1	7	-13.6	0
1667	450	448.44	1.5625	1	7	2.6	0
3356	450	448.44	1.5625	1	7	5.2	0
5048	450	448.44	1.5625	1	7	5	0
6690	450	448.44	1.5625	1	7	5.4	0
8375	450	448.44	1.5625	1	7	5	0
10048	450	448.44	1.5625	1	7	4.7	0
11709	450	448.44	1.5625	1	7	4.3	0
13385	450	448.44	1.5625	1	7	3.6	0
15069	450	448.44	1.5625	1	7	3.1	0
16721	450	448.44	1.5625	1	7	2.7	0
18407	450	448.44	1.5625	1	7	2.2	0
20096	450	448.44	1.5625	1	7	1.6	0
21767	450	448.44	1.5625	1	7	1.1	0
23440	450	448.44	1.5625	1	7	0.9	0
25161	450	448.44	1.5625	1	7	0.5	0
26805	450	448.44	1.5625	1	7	0.1	0
28490	450	448.44	1.5625	1	7	-0.4	0
30201	450	448.44	1.5625	1	7	-0.2	0
31886	450	448.44	1.5625	1	7	-0.1	0
33568	450	448.44	1.5625	1	7	0	0
35271	450	448.44	1.5625	1	7	0.1	0
36928	450	448.44	1.5625	1	7	-0.2	0
38598	450	448.44	1.5625	1	7	-0.1	0
40307	450	448.44	1.5625	1	7	-0.2	0
41989	450	448.44	1.5625	1	7	-0.2	0
43675	450	448.44	1.5625	1	7	-0.1	0
45363	450	448.44	1.5625	1	7	-0.3	0
47081	450	448.44	1.5625	1	7	-0.5	0
48774	450	448.44	1.5625	1	7	-0.4	0
50430	450	448.44	1.5625	1	7	-0.2	0
52169	450	448.44	1.5625	1	7	-0.2	0
53859	450	448.44	1.5625	1	7	-0.3	0
55555	450	448.44	1.5625	1	7	-0.4	0
57283	450	448.44	1.5625	1	7	-0.2	0
58954	450	448.44	1.5625	1	7	-0.3	0
60639	450	448.44	1.5625	1	7	-0.3	0
62331	450	448.44	1.5625	1	7	-0.2	0
64017	450	448.44	1.5625	1	7	-0.3	0
65714	450	448.44	1.5625	1	7	-0.1	0
67405	450	448.44	1.5625	1	7	-0.1	0
69140	450	448.44	1.5625	1	7	0.1	0
70814	450	448.44	1.5625	1	7	-0.3	0
72470	450	448.44	1.5625	1	7	-0.2	0
74244	450	448.44	1.5625	1	7	-0.3	0
75903	450	448.44	1.5625	1	7	0	0
77533	450	448.44	1.5625	1	7	-0.4	0
79274	450	448.44	1.5625	1	7	-0.3	0
80959	450	448.44	1.5625	1	7	-0.2	0
82611	450	448.44	1.5625	1	7	-0.3	0
84327	450	448.44	1.5625	1	7	-0.3	0
86041	450	448.44	1.5625	1	7	-0.2	0
87764	450	448.44	1.5625	1	7	-0.2	0
89435	450	448.44	1.5625	1	7	-0.5	0
91174	450	448.44	1.5625	1	7	-0.1	0
92850	450	448.44	1.5625	1	7	-0.3	0
94497	450	448.44	1.5625	1	7	-0.3	0
96240	450	448.44	1.5625	1	7	-0.1	0
97894	450	448.44	1.5625	1	7	0	0
99531	450	448.44	1.5625	1	7	-0.1	0
101267	450	448.44	1.5625	1	7	-0.3	0
102941	450	448.44	1.5625	1	7	0	0
104597	450	448.44	1.5625	1	7	-0.5	0
106337	450	448.44	1.5625	1	7	-0.2	0
108038	450	448.44	1.5625	1	7	-0.3	0
109711	450	448.44	1.5625	1	7	-0.3	0
111398	450	448.44	1.5625	1	7	-0.3	0
113142	450	448.44	1.5625	1	7	-0.5	0
114795	450	448.44	1.5625	1	7	-0.4	0
116502	450	448.44	1.5625	1	7	-0.3	0
118222	450	448.44	1.5625	1	7	-0.2	0
119877	450	448.44	1.5625	1	7	-0.3	0
121569	450	448.44	1.5625	1	7	-0.5	0
123335	450	448.44	1.5625	1	7	-0.3	0
125040	450	448.44	1.5625	1	7	-0.4	0
126690	450	448.44	1.5625	1	7	-0.3	0
128394	450	448.44	1.5625	1	7	-0.5	0
130144	450	448.44	1.5625	1	7	-0.1	0
131798	450	448.44	1.5625	1	7	-0.2	0
133457	450	448.44	1.5625	1	7	-0.6	0
135199	450	448.44	1.5625	1	7	-0.3	0
136847	450	448.44	1.5625	1	7	-0.3	0
138531	450	448.44	1.5625	1	7	-0.2	0
140274	450	448.44	1.5625	1	7	-0.3	0
141937	450	448.44	1.5625	1	7	-0.4	0
143595	450	448.44	1.5625	1	7	-0.3	0
145328	450	448.44	1.5625	1	7	-0.1	0
147015	450	448.44	1.5625	1	7	-0.1	0
148708	450	448.44	1.5625	1	7	-0.2	0
150394	450	448.44	1.5625	1	7	-0.3	0
